id,distrito,candidato,cargo,frente_alianza,actividad_actual,referente,agrupacion,alineamiento,particularidades,the_geom,cartodb_id,created_at,updated_at
10,Tres De Febrero,Martín Jofré,Intendente,UNA,CONCEJAL,Caamaño,,Sola,Empresario de la noche. ,,53,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,Francisco Soraci,Intendente,UNA,,Cariglino,,Sola,En 2011 fue candidato a intendente por Comp Fed (R Saá),,54,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,Francisco Cafiero,Intendente,FPV,FUNC PBA,,,,"Lleva primero en la lista a Juan Ottavis, hermano de José, dirigente de La Cámpora. ",,58,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,Gustavo Posse,Intendente,CAMBIEMOS,INTENDENTE,,UCR,Vidal,,,59,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,Guillermo Montenegro,Intendente,CAMBIEMOS,MIN SEG GCBA,Michetti,PRO,Vidal,,,60,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,Marcela Durrieu,Intendente,UNA,CONCEJAL,Massa,,Sola,Es la suegra de Massa,,61,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,E. Aguirre,Intendente,PROGRESISTAS,,,,,,,62,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,Lucio Acosta,Intendente,PROGRESISTAS,,,,,,,63,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,P. Chamatropoulos,Intendente,PROGRESISTAS,,,,,,,64,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
11,San Isidro,Carlos Perini,Intendente,PROGRESISTAS,,,,,,,65,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
12,Florencio Varela,Julio Pereyra,Intendente,FPV,INTENDENTE,,PJ,,Int desde 1992. Es apoyado por Anibal Fernández. ,,66,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
12,Florencio Varela,Héctor Salatino,Intendente,FPV,CONCEJAL,Sabbatella,NUEVO ENCUENTRO,Fernandez,Ex hombre de Pereyra. En 2011 creó el bloque N. Encuentro. ,,67,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
12,Florencio Varela,Dardo Otonello,Intendente,CAMBIEMOS,CONCEJAL,,PRO,Vidal,"Ex FR, sobre la hora se pasó al PRO. ",,68,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
12,Florencio Varela,Roberto Angeletti,Intendente,CAMBIEMOS,PRIVADA,Sanz,UCR,Vidal,,,69,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
12,Florencio Varela,Ernersto Daniel Zisuela,Intendente,UNA,SINDICALISTA,Caamaño,,Sola,,,70,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
12,Florencio Varela,A. Estupiñan,Intendente,PROGRESISTAS,,,,,,,71,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
12,Florencio Varela,Jorge Denis,Intendente,PROGRESISTAS,,,,,,,72,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
13,Tigre,Sergio Szpolzski,Intendente,FPV,EMPRESARIO,,,,"Lleva en la lista a Pablo Gianella, dirigente locall de La Cámpora",,73,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
13,Tigre,Roberto Passo,Intendente,FPV,SINDICALISTA,,,,"Ex dip prov, es tutular de la Obra Soc del Personal del ACA. ",,74,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
13,Tigre,E. Casaretto,Intendente,CAMBIEMOS,,,VECINALISTA,Vidal,Fue Sec de Gob de Ubieto. En 2007 perdió contra Massa. Lleva 2° en la lista al actor Segundo Cernadas. ,,75,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
13,Tigre,Julio Zamora,Intendente,UNA,INTENDENTE,Massa,FR,Sola,Sucedió a Massa en 2013,,76,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
15,Vicente Lopez,Enrique García,Intendente,FPV,DIR AYSA,,,,Fue intendente desde el 87 al 2011 cuando perdió con Jorge Macri,,87,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
15,Vicente Lopez,Jorge Macri,Intendente,CAMBIEMOS,INTENDENTE,,PRO,Vidal,Le ganó a García en 2011 por 38% contra 34%,,88,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
15,Vicente Lopez,Luis Palomino,Intendente,CAMBIEMOS,,Sanz,UCR,Vidal,Tiene el apoyo de Storani,,89,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
15,Vicente Lopez,Adrian Perez,Intendente,UNA,DIP NAC,Massa,FR,Sola,Ex CC,,90,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
