cabecera,departamento,codigo,the_geom,cartodb_id,created_at,updated_at
BELEN DE ESCOBAR,ESCOBAR,06252,0101000020E61000004AF576CA8A634DC0E489FFBFDA2B41C0,70,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LANUS,LANUS,06434,0101000020E610000044D6262592334DC07CD63A13885941C0,71,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CARMEN DE PATAGONES,PATAGONES,06602,0101000020E61000007AB412E7C56D4FC0EC98FFFF1B1744C0,72,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LOMAS DE ZAMORA,LOMAS DE ZAMORA,06490,0101000020E6100000BD7A30CA3C344DC0A477FF5F626041C0,73,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
PINAMAR,PINAMAR,06644,0101000020E61000007A0CAC9F046F4CC0B0B2FFFF948D42C0,74,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SALTO,SALTO,06714,0101000020E6100000BC859CBDAE264EC0303EFF4FDB1F41C0,75,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LOS POLVORINES,MALVINAS ARGENTINAS,06515,0101000020E6100000F22C3DBD445C4DC048BBFFFF073E41C0,76,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CARMEN DE ARECO,CARMEN DE ARECO,06161,0101000020E6100000DCC230E050F64DC0B8440000F83541C0,77,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL GUIDO,GENERAL GUIDO,06308,0101000020E6100000CA753D6BF7FA4CC070B6FF4F055542C0,78,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MAIPU,MAIPU,06511,0101000020E6100000EECCCA84BCCB4CC03487FFCFBC7142C0,79,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ROJAS,ROJAS,06686,0101000020E610000078B4ED25745C4EC0DC6300E00C1941C0,80,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN ANTONIO DE ARECO,SAN ANTONIO DE ARECO,06735,0101000020E6100000EAAE459949C84DC0340A00907E1A41C0,81,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
